username,exercise_minutes,water_intake,steps,energy_level,note,date
sumithra_m,30,3.0,5000,1,feeling tired,2026-03-13
sumithra_m,0,0.0,0,3,im active,2026-03-13
sumithra_m,30,3.0,5000,3,im happy,2026-03-13
sumithra_m,30,3.0,5000,3,im happy,2026-03-13
sumithra_m,30,2.5,5000,1,im stressed,2026-03-13
sumithra_m,30,2.0,5000,4,strong ,2026-03-13
sumithra_m,30,2.0,5000,3,im tired,2026-03-13
sumithra_m,30,2.0,5000,3,im strong,2026-03-13
vibisha,30,2.5,5000,3,strong,2026-03-14
sumithra_m,30,2.5,5000,3,,2026-03-20
